customer_id,amount_ratio,country_changed,device_changed,outside_hours,tx_last_hour
1383,0.7461784825957773,0,0,0,2
2723,0.932635441956172,0,0,0,5
3800,1.2247202412277807,0,0,0,3
812,1.3241922440591074,0,0,0,2
3974,1.135348683010676,0,0,0,3
4202,0.9793257775456871,0,0,0,2
122,1.1275110538001545,0,0,0,2
1058,0.9186537756999397,0,0,0,1
3188,1.1515080065255436,0,0,0,2
4779,1.2053567423091576,0,0,0,3
110,0.8233641342628096,0,0,0,1
1544,0.7977752875304148,0,0,0,1
341,1.2247148583597127,0,0,0,1
3726,1.1228395102603304,0,0,0,0
2180,0.9928141947690357,0,0,0,1
3046,0.9990962474277785,0,0,0,3
1179,1.109620400892439,0,0,0,2
1494,0.9571843177346104,0,0,0,3
1400,0.9567982115529208,0,0,0,1
1416,1.2262161714984776,0,0,0,2
2184,1.228053806222164,0,0,0,2
829,0.9208068786593449,0,0,0,0
809,0.9692184340873353,0,0,0,1
1773,1.1397805216206118,0,0,0,1
4874,0.8090624485877208,0,0,0,4
642,0.8903167859249015,0,0,0,1
4636,1.214109131146152,0,0,0,2
1350,0.9571090323184703,0,0,0,3
2874,0.6797868421872243,0,0,0,2
3896,1.2726069279246752,0,0,0,1
4087,1.0508884571187578,0,0,0,4
4905,1.0339956375698698,0,0,0,2
583,0.7625848919911732,0,0,0,1
2198,1.0039834556266642,0,0,0,2
932,1.1912171721861855,0,0,0,3
4799,0.7593837849603501,0,0,0,0
1008,1.2648072147877178,0,0,0,1
2839,1.1331862184699846,0,0,0,4
2913,1.0206440373512664,0,0,0,2
2868,0.7735577594126359,0,0,0,1
1985,1.1069727443248938,0,0,0,1
3668,1.0749445825865342,0,0,0,1
3725,0.8773326413527738,0,0,0,3
4184,0.7123569301720226,0,0,0,2
2248,1.2041045627635019,0,0,0,3
2248,0.9154630601525032,0,0,0,1
4,1.1024322999036236,0,0,0,2
3483,1.0271891914237394,0,0,0,2
632,1.0935330698809764,0,0,0,0
1322,1.1138262503263354,0,0,0,2
3911,1.0794276506113492,0,0,0,4
2588,1.0115931643623604,0,0,0,2
4647,0.9386751011203196,0,0,0,7
2553,1.2755812504668949,0,0,0,0
4311,0.873138640456145,0,0,0,1
4692,0.9129588184424229,0,0,0,6
3331,1.113937419016568,0,0,0,1
1420,1.1001760695567848,0,0,0,7
2322,0.9886967521680021,0,0,0,1
2387,0.8522352400379257,0,0,0,2
3177,1.0876037192185124,0,0,0,3
3843,1.156615511291809,0,0,0,4
4375,1.131896051212067,0,0,0,1
3175,1.233097840908236,0,0,0,1
3205,1.2000816172936066,0,0,0,1
4063,0.804374166385241,0,0,0,1
4279,0.9137857616702563,0,0,0,1
2210,1.1113668719295413,0,0,0,1
4829,0.6263020141347918,0,0,0,2
369,0.8215938164427754,0,0,0,0
2722,0.6554249734835396,0,0,0,1
448,0.9064934520031372,0,0,0,3
4450,1.0221110571189522,0,0,0,1
3510,1.365406164097686,0,0,0,3
551,0.6555224229147074,0,0,0,3
1655,1.4245378771913313,0,0,0,3
